id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
1046,"A project includes a delicate component that's expensive to produce. The
project manager aims to shift the risk where feasible. What action
should they take?",Delegate the risk to a sub-project manager.,Secure an insurance policy for transport-related damage.,Submit a change request to switch to air shipping.,Alter the component's specs to a sturdier material.,,2,,,,,,,,1500_questions.txt
1047,"Betsy manages the JGB Project and needs quotes from seven vendors for
1,000 fixtures. What document should she send to these suppliers?",\* A request for a price quote,\* A call for vendor information,\* A proposal solicitation,\* An invite to a bidding event,,1,,"A request for a price quote seeks cost details for specific goods or
services. Here, Betsy needs pricing for fixtures, making this the best
fit. A proposal solicitation asks for solutions, not just prices. A call
for vendor information gathers product details, not quotes. A bidding
event is a meeting, not a document.",,,,,,1500_questions.txt
1048,"What task involves the project manager assembling the team to plan how
they'll track budget performance going forward?",Implementing fixes,Assessing results,Creating the cost management strategy,Formulating the project budget,,3,,"Crafting the cost management strategy occurs during the Plan Cost
Management process. It establishes guidelines for measuring performance,
precision levels, measurement units, procedural links, control limits,
reporting styles, and other budget details needed to develop, oversee,
and regulate costs.",,,,,,1500_questions.txt
1049,Knowledge can be divided into which two categories?,Unknown,Tacit,Explicit,Known,,,"2,3","Knowledge splits into explicit and tacit types. Explicit knowledge is
easily expressed through words, images, or figures; tacit knowledge
involves abstract, hard-to-articulate concepts like beliefs,
experiences, and expertise.",,,,,,1500_questions.txt
1050,"Tori, project manager at Acme Corporation, hears from a senior team
member that a junior colleague keeps repeating errors during updates,
costing time to fix. What should Tori do next?",\* Remove the junior member from the team.,\* Privately reprimand the junior member.,\* Collaborate with the senior member to mentor the junior colleague.,\* Instruct the senior member to correct the junior member.,,3,,"The senior member's time fixing errors could be better spent guiding the
junior colleague. This reduces future mistakes, frees up the senior
member, and boosts the junior's skills. Discipline should come from Tori
if needed, but it won't teach skills. Removing the junior member skips a
growth opportunity.",,,,,,1500_questions.txt
1051,"As a senior project manager in a manufacturing plant for aviation parts,
you're blending lean and waterfall methods. You've recently rolled out
approved changes. Which process group includes these actions?",Execution phase,Start-up phase,Planning phase,Oversight and control phase,,1,,"Rolling out approved changes falls under the Direct and Manage Project
Work process, part of the Execution phase.",,,,,,1500_questions.txt
1052,Review the diagram. How many days can Activity E be postponed?,\* One,\* Zero,\* Two,\* Three,,4,,"Using forward and backward passes on the diagram, Activity E has three
days of float, not zero, one, or two.",,,,,,1500_questions.txt
1053,"Maria, product owner for the GEOAPP project, faces a sprint planning
dilemma. Scrum master Ted suggests prioritizing a new task flagged by
developers to avoid future blockers, sized at 12 of 30 story points.
This shifts key user stories to later sprints. What should Maria do?",\* Clear the next sprint for only this task.,\* Reject adding the task to the backlog.,\* Consult Ted to assess the task and prioritize it appropriately.,\* Delay the task until after current user stories.,,3,,"Maria should team up with Ted to evaluate the task's impact and set its
priority. This balances addressing the issue with ongoing sprint work.
Ignoring it risks problems, delaying it may not solve the blocker, and
clearing the sprint is excessive given the task's size.",,,,,,1500_questions.txt
1054,"Jake, a project manager, connects deeply with his team, sensing their
worries about careers, projects, or the firm. He listens, reflects their
concerns into words, and supports them in safe, in-person talks, calming
tensions while staying professional. What trait does Jake exhibit?",\* Organizational,\* Analytical,\* Innovative,\* Empathetic,,4,,"Jake's empathetic trait shines through his ability to read and manage
emotions, anticipating team needs intuitively. Innovative traits focus
on creative thinking, analytical on systems, and organizational on
leading groups---not Jake's focus here.",,,,,,1500_questions.txt
1055,"Bridget, the lone project manager in a small firm, juggles staff from
other units for her projects, often mandated by executives without a
business case. She keeps basic charters but skips most records, purging
data after five years. A new project manager joins to ease her load.
What info-sharing hurdles will they face?",\* None; five years of charters are available.,\* They'll rely on trial and error.,\* None; Bridget can guide them.,\* Missing insights and planning records.,,4,,"Bridget's sparse record-keeping---lacking plans and lessons
learned---forces reliance on memory, shortchanging the new manager.
Charters alone lack depth, and mentoring time may be scarce. Past
lessons would ease the transition.",,,,,,1500_questions.txt
1056,"Rob's project kicks off soon. He's reviewing a draft charter from
brainstorming sessions, noting key points and rephrasing them for
sponsor or stakeholder queries. He drafts a schedule with phase
checkpoints and a feedback process, ensuring alignment with the charter
and scope. Which process group is Rob weaving into this adaptive setup?",\* Planning phase,\* Launch phase,\* Execution phase,\* Tracking and adjustment phase,,2,,"The Launch phase defines a project or phase start, securing approval.
Rob's prep aligns with this, unlike planning (scope refining), execution
(work completion), or tracking (progress monitoring).",,,,,,1500_questions.txt
1057,"Your PMO wants a new project manager with mentoring skills. Which core
competency ties most to mentoring?",\* Sector-specific expertise,\* Broad leadership skills,\* Project oversight abilities,\* Extensive tenure,,2,,"Mentoring falls under broad leadership skills, applicable beyond
industry, project specifics, or years worked. It's about guiding, not
just technical or project know-how.",,,,,,1500_questions.txt
1058,"A stakeholder asks Zinnia's team to switch a food scale's brushed metal
finish to a polished one. Zinnia checks with metallurgy, finding minimal
cost difference at scale, and requests docs for the stakeholder. What
change management step is this?",\* Spotting a new change request,\* Evaluating the change's impact,\* Submitting the change to the control board,\* Applying approved changes,,2,,"Evaluating the change's impact assesses its effects on the project.
Zinnia's cost check fits here, not spotting, submitting, or applying the
change.",,,,,,1500_questions.txt
1059,"A major financial software rollout is done, and the project manager is
handing it to IT support. What's the support team's role post-hand-off?",Training the finance team on the app,"Handling any leftover project tasks approved by the steering
committee",Maintaining the app and aiding users with issues,Helping the project team craft the user manual,,3,,,,,,,,1500_questions.txt
1060,"Mikayla, a seasoned construction project manager, now leads her first
agile software project. What should she ensure her team grasps more in
agile than in waterfall when prepping for issues?",\* Signs and cues of looming problems,\* The problem's nature,\* The fix strategy,\* Roles in addressing the problem,,1,,"Agile's adaptability demands awareness of issue signals, unlike
waterfall's upfront scope. Other elements---problem nature, strategy,
roles---apply similarly across both.",,,,,,1500_questions.txt
1061,"Jane, president of Reasons to Lyv, and Thomas, her project manager, meet
to categorize stakeholders' stances---resistant, unaware, neutral,
supportive, or leading---for a GPS tech product launch. What process are
they doing?",Strategizing stakeholder involvement,Pinpointing stakeholders,Overseeing stakeholder relations,Tracking stakeholder engagement,,1,,"They're strategizing stakeholder involvement, planning engagement based
on influence and needs, not just identifying, overseeing, or tracking.",,,,,,1500_questions.txt
1062,"You're revamping your company's website to stay competitive globally,
incorporating rival best practices and adapting to trends. Which
methodology fits best?",\* Forecast-driven,\* Iterative,\* Incremental,\* Agile,,4,,"Agile suits projects with easy changes, low waste, and evolving needs in
complex settings. Forecast-driven resists change, while iterative and
incremental are less flexible than agile here.",,,,,,1500_questions.txt
1063,"Cynthia manages a wholesale art supply firm. Stakeholder Bill, deeply
involved, reviews all deliverables personally, tied to sponsors despite
a mixed strategy record. Where does he fit on the power/interest grid?","\* High power, low interest","\* Low power, high interest","\* Low power, low interest","\* High power, high interest",,4,,"Bill's high involvement and sponsor ties place him at high power, high
interest, needing close management.",,,,,,1500_questions.txt
1064,"John, managing the Colin Project, hosts weekly meetings. Which isn't a
valid meeting rule?",\* Share the agenda before starting,\* Let the team shape the agenda,\* Let meetings run as long as needed,\* Set recurring meetings promptly,,3,,"Meetings shouldn't drag on without a time cap; other rules enhance
efficiency and engagement.",,,,,,1500_questions.txt
1065,"Oscar, scrum master for Project Nestegg, is nine sprints in with a
34-point velocity. The product owner reordered the backlog before the
next sprint. What's Oscar's next move?",\* Protest to his boss about the change,\* Ask the product owner why they reordered,\* Let the team pick their sprint tasks,\* Undo the reorder without approval,,3,,"Backlog shifts are normal in agile, and the product owner sets
priorities. The team selects sprint tasks during planning, making this
Oscar's best step.",,,,,,1500_questions.txt
1066,"Project Spiders (three years) ensures financial regulation compliance,
while Project Bulletproof (one year) shields against lawsuits. How do
you pick the higher-value project?",\* No analysis; both are must-dos.,\* Go with the board's favorite.,\* Compute each project's net present value and pick the higher one.,\* Forecast revenues and choose the highest.,,3,,"Net present value offers a today's-dollar comparison of project worth,
ideal for differing timelines.",,,,,,1500_questions.txt
1067,"After seven years as a project manager, your new COO asks for a list of
company bottlenecks for improvement. Which is an organizational
impediment?",\* The QA team needs a new issue tracker.,\* Random coding audits aim to catch bugs.,\* Office internet is spotty.,\* The CEO takes the last Friday off monthly.,,3,,"A company-wide issue like unreliable internet is an organizational
impediment, unlike team-specific or individual quirks.",,,,,,1500_questions.txt
1068,What theory links motivation to expecting a good outcome?,Expectancy Theory,Achievement Theory,Hygiene Theory,Maslow's Hierarchy of Needs,,1,,Victor Vroom's Expectancy Theory ties motivation to anticipated rewards.,,,,,,1500_questions.txt
1069,A result of the Develop Project Team process is:,Change requests,Team performance reviews,Staff assignments,Project document updates,,2,,,,,,,,1500_questions.txt
1070,An input to Qualitative Risk Analysis is:,Risk register,Risk data quality check,Risk grouping,Risk urgency,,1,,,,,,,,1500_questions.txt
1071,"What three factors should you weigh when picking a life-cycle
methodology?",The company's culture,The project crew,The sponsor's wishes,The project itself,,,"1,2,4","Per the PMBOK® Guide, consider company culture, the crew, and the
project itself.",,,,,,1500_questions.txt
1072,"Sue oversees consolidating five data centers into one, using waterfall
for initial plans and agile for execution. After two iterations, she
gathers the team to refine their hybrid process. An agile-savvy member
suggests post-iteration reviews of successes, flaws, and commitments to
tweak the next round. What's this called?",Retrospectives,Lessons learned,Backlog tuning,Iteration prep,,1,,"Retrospectives help agile teams reflect and improve after each cycle,
committing to one tweak per iteration.",,,,,,1500_questions.txt
1073,"Kenneth finished a university art studio project, satisfying professors
with its decor and resources. He's archiving feedback and scheduling a
close-out meeting per the sponsor's request. Which document is key for
this meeting?",\* Project management plan,\* Change request,\* Project charter,\* Lessons learned report,,4,,"The lessons learned report captures session insights and extra input,
vital for close-out.",,,,,,1500_questions.txt
1074,"Company A's new project manager builds a risk register for an ongoing
project. A risk, owned by an outsider, triggers. What's the next step?",Drop the outsider as risk owner and reassign internally.,Urge the risk owner to act.,Study the risk's triggers.,Alert the PMO to handle it.,,2,,,,,,,,1500_questions.txt
1075,"What category do predictive, iterative, incremental, and agile fall
under?",Project life cycles,Delivery approaches,Management methodologies,Management frameworks,,1,,,,,,,,1500_questions.txt
1076,"Jesus, managing a tech rollout at Cherry Publishing, is told to sharpen
his estimates. Which method offers the most precision?",\* Top-down budgeting,\* Parametric estimating,\* Top-down estimating,\* Bottom-up estimating,,4,,"Bottom-up estimating starts from scratch, detailing each cost for top
accuracy.",,,,,,1500_questions.txt
1077,"You're planning an outdoor concert a year out, procuring software for
lighting and projections. You want a fixed-price deal with minimal risk,
offering a bonus for finishing 30 days early. What contract type fits?",FPIF,CPIF,CPFF,FFP,,1,,"A fixed-price incentive fee contract sets deliverables and price, with a
bonus for early work---perfect here.",,,,,,1500_questions.txt
1078,"Jolene, scrum master for a big tech project, leads a team learning agile
in a newbie organization. After four sprints, the CIO, vaguely
agile-aware, wants weekly reports and plans. Jolene notes agile skips
heavy docs. What can she share to show progress and value?",\* Cost burndown chart,\* Burndown chart,\* Info radiator,\* Bubble chart,,2,,"A burndown chart tracks remaining story points and sprint completions,
showing progress clearly.",,,,,,1500_questions.txt
1079,"A project manager must hand off a project fast to start another.
Warranty fixes are pending, but stakeholders won't accept deliverables
until all are done. What's the best move?",Postpone the switch until all fixes are complete.,Check the stakeholder engagement plan for guidance.,Find a replacement to wrap up fixes.,Let resources finish fixes on their own.,,4,,,,,,,,1500_questions.txt
1080,A PMO's main role includes supporting project managers by:,"Crafting and overseeing policies, procedures, and templates",Acting as sponsor with funding,Handling issues and changes in shared governance,Aligning strategy affecting goals,,1,,,,,,,,1500_questions.txt
1081,"Post-sprint, the team reviews what worked and what didn't, noting daily
stand-up tweaks helped. What two actions best describe this?",Held a sprint retrospective,Held sprint planning,Boosted process efficiency,Ran a teamwork session,,,"1,3","The team conducted a sprint retrospective, reflecting on successes and
committing to process boosts for the next sprint.",,,,,,1500_questions.txt
1082,The top fix for technical debt in agile is:,\* Refactoring,\* Test-Driven Development,\* Reserving backlog for optimization,\* Pair programming,,1,,"Refactoring tackles technical debt per item delivered, not post-facto or
via other methods.",,,,,,1500_questions.txt
1083,"In closure, the project manager and sponsor review a final report
showing 90% budget use. The sponsor fears overspending. What's the
manager's reply?",Reassure the sponsor the overspending risk is low.,Agree and start risk reduction steps.,Email the team about spending woes.,Take offense at the sponsor's distrust.,,1,,"Late in closure, costs taper, minimizing overspending risk.",,,,,,1500_questions.txt
1084,"Market trends and available commercial data serve as examples of which
input to the Estimate Costs process?",Scope foundation,Company process resources,External business influences,Risk log,,3,,,,,,,,1500_questions.txt
1085,What traits define a servant leader? (Pick three.),Foster others' growth,Encourage self-reflection,Hold firm beliefs,Favor guiding over directing,,,"1,2,4","Per the Agile Practice Guide, servant leaders promote self-reflection,
listen, serve the team, foster growth, guide rather than dictate, and
nurture trust and energy.",,,,,,1500_questions.txt
1086,"When choosing a project, what's the top factor?",Constraint types,Internal company needs,Funding limits,Timeline,,2,,,,,,,,1500_questions.txt
1087,A project management office oversees aspects like:,"Scope, timeline, cost, and quality of work package outputs",Unified communication coordination across projects,Resource allocation to meet project aims,"Enterprise-level risk, opportunity, and project links",,4,,,,,,,,1500_questions.txt
1088,"For a divisive community project, Jennifer, an emotionally savvy project
manager, is assigned. Which conflict resolution method will she likely
favor?",\* Easing tensions,\* Stepping back,\* Imposing decisions,\* Finding middle ground,,1,,"Emotionally savvy leaders lean toward easing tensions, emphasizing
agreement over differences. Stepping back yields loss, imposing
decisions alienates, and middle ground sacrifices too much.",,,,,,1500_questions.txt
1089,"Andrew worries his team's work is slipping near project end. He wants to
track defects from recent sprints. What's the best tool?",\* A quality assurance summary,\* A burndown graph,\* A defect trend review,\* The product backlog,,3,,"A defect trend review best tracks flaws over time. Quality summaries are
vague, burndown graphs track points, and backlogs focus on tasks.",,,,,,1500_questions.txt
1090,"How can a project manager for a tech project ensure the design fits
customer needs?",Compare against benchmarks.,Present a proof of concept.,Sketch a context diagram.,Build a prototype.,,4,,,,,,,,1500_questions.txt
1091,"Finish this: For better or worse, a project risk is a(n)
\_\_\_\_\_\_\_\_\_\_\_\_\_\_ that can impact the project.",\* Multiple-choice,\* Known - unknown,\* Hazardous,\* Uncertain,,2,,"Uncertain fits, as risks hinge on chance, not planning. Hazardous isn't
universal, and known-unknown or multiple-choice don't apply.",,,,,,1500_questions.txt
1092,"For a virtual team with 12 local members, 4 West Coast, 2 Kansas City,
and 6 London staff---some on odd shifts---what tracks their availability
and skills?",Resource timeline,Activity timeline,Team list,Project timeline,,1,,"Resource timelines, from the Acquire Resources process, detail
availability and capabilities.",,,,,,1500_questions.txt
1093,"You're mentoring a new project manager who mentions a senior engineer
disrupting meetings and breaking rules. What's your top advice?",Tackle the rule-breaking with the engineer first.,Trust their instincts to handle it.,Escalate to the engineer's boss right away.,Bend rules for this key resource.,,1,,"Addressing the engineer directly fosters respect for rules and uncovers
causes, before escalating if needed.",,,,,,1500_questions.txt
1094,"As a project manager, you use empathic listening to grasp others'
viewpoints. How should you proceed?",Echo their message's content,"Question, then judge the content","Judge the content, then advise",Restate their words and mirror their emotions,,4,,"Empathic listening seeks to understand without judgment, rephrasing and
reflecting feelings.",,,,,,1500_questions.txt
1095,"Your leveled schedule, set due to scarce resources, now faces a rush
mandate. How do you adjust it?",Resource tweaking,Reverse resource planning,Critical chain method,Resource reshuffling,,4,,"Reshuffling resources can shorten a leveled schedule by shifting
non-critical to critical tasks.",,,,,,1500_questions.txt
1096,An issue log feeds into which Human Resource Management process?,Oversee Project Team,Gather Project Team,Plan Human Resources,Build Project Team,,1,,,,,,,,1500_questions.txt
1097,"In a weak matrix as project manager, you've finished the schedule and
need approval to assign resources. Who approves it?",\* Functional supervisors,\* Project advocates,\* No one; I have full control here,\* Team members,,1,,"In a weak matrix, functional supervisors hold sway and must approve the
schedule.",,,,,,1500_questions.txt
1098,"See the PERT table. Stakeholders want a 95.44% confidence level for
Activity 2's duration. How long will it take?",Between 21 and 25 days,Between 23 and 28 days,Between 18 and 28 days,Between 13 and 33 days,,3,,"With a standard deviation of 1.67 \[(30-20)/6\], 95.44% confidence (3
deviations) is 5.01 days. Expected value is 23, so 18-28 days.",,,,,,1500_questions.txt
1099,"A multiphase network project's Phase 1 ends next month, but Phase 2's
budget approval lags. The project manager has a plan. What tracks this
to avoid performance hits?",Issue tracker,Action tracker,Assumption tracker,Change tracker,,3,,,,,,,,1500_questions.txt
1100,"Your new manager, sponsoring your project post-reorg, wants a timeline
of value-adding outcomes. What's this?",Benefits,Milestones,Net present value,Internal rate of return,,1,,"Benefits, per the PMBOK® Guide, are valuable outcomes for the sponsor
and beneficiaries.",,,,,,1500_questions.txt
1101,Name three traits servant leaders often show.,Guiding,Aiding team growth,Boosting self-awareness,Directing for clarity,,,"1,2,3","Servant leaders guide, aid growth, and boost awareness, fostering
collaboration and value.",,,,,,1500_questions.txt
1102,"Thomas excels at foreseeing project issues but struggles as a leader,
upset by missed details. How can he improve?","\* Quit, as leadership can't be learned.",\* Boost emotional intelligence for better leadership.,\* Demand a new team that gets his methods.,\* Train his team to catch details.,,2,,"Enhancing emotional intelligence helps Thomas manage emotions, easing
team tension and boosting leadership.",,,,,,1500_questions.txt
1103,"Your team adopts agile per the division president's order at a
healthcare device firm. What power type is this?",Legitimate,Referent,Expert,Punishment,,1,,"Legitimate power stems from the president's formal role driving this
shift.",,,,,,1500_questions.txt
1104,"John's project aims to transform mobile fitness tracking. He'll define
deliverables early, refining them later. What life cycle is this?",Iterative,Predictive,Incremental,Hybrid,,1,,"Iterative defines deliverables early, refining as it goes---John's
approach.",,,,,,1500_questions.txt
1105,"The sponsor learns the CEO promised stockholders your project ends this
year, six months early, with budget as the main limit. How do you speed
it up?",Check the plan for fast-track options and revise the timeline.,Add resources to hasten work.,Seek more funds to outsource a phase.,Push the sponsor to correct the CEO's claim.,,1,,"Fast-tracking compresses phases within the budget constraint, the best
fix here.",,,,,,1500_questions.txt
1106,"Heath, scrum master for Project K in its first sprint, sees tasks
failing quality checks. What's his next step?",\* Find training to boost team quality skills.,\* Run a Monte Carlo simulation.,\* Do a gap analysis.,\* Report to the product owner.,,1,,Training addresses skill gaps to fix quality issues early.,,,,,,1500_questions.txt
1107,Which procurement process awards a contract?,Manage Procurements,Finalize Procurements,Execute Procurements,Plan Procurements,,3,,,,,,,,1500_questions.txt
1108,"Zane, scrum master for Project F, nine sprints in with 73 story points
and \$15,000 under budget, finds deployed features non-compliant
legally. What's next?",\* Notify the steering committee.,\* Task a team member with mitigation research.,\* Add correction stories to the next sprint.,\* Call the legal team.,,1,,"Alerting the steering committee aligns strategy for the noncompliance
issue.",,,,,,1500_questions.txt
1109,"Dee-dee manages a bauxite mine project in Australia that hit its ore
goal, deeming it successful in her stakeholder report. What data guides
this closure?",\* Quality targets,\* Cost targets,\* Success criteria,\* Project overview,,3,,"Success criteria define what makes the project a win, like hitting the
ore goal.",,,,,,1500_questions.txt
1110,"Jean calls a team meeting to solve a tough issue, knowing some resist
and support varies. She wants open reservations. What model fits best?",\* Fist-of-Five Voting,\* Participatory Decision Game,\* Highsmith's Decision Spectrum,\* Basic Voting,,3,,"Highsmith's Decision Spectrum captures a range of views and
reservations.",,,,,,1500_questions.txt
1111,What best captures honesty for project managers?,Owning our choices and their outcomes,Seeking truth and acting truthfully,Deciding fairly and objectively,"Valuing ourselves, others, and resources",,2,,"Honesty means grasping truth and reflecting it in words and deeds, per
the Code of Ethics.",,,,,,1500_questions.txt
1112,"For a multi-site project with many risks, what's the best risk-handling
method?",\* Assign risk owners for each risk.,\* Insure every risk.,\* Visit sites as risks near.,\* Schedule risks to avoid overlap.,,1,,Risk owners track and manage risks effectively across sites.,,,,,,1500_questions.txt
1113,"Hunter, managing procurements without a dedicated department, opts to
outsource a service, picking one contractor by their action plan. What
bid document fits?",\* Invitation to negotiate,\* Price quote request,\* Proposal request,\* Info request,,3,,"A proposal request seeks action plans, matching Hunter's needs.",,,,,,1500_questions.txt
1114,"A project nears delivery when the manager spots a missed regulatory
need. What should've been done?",Run a SWOT analysis,Update the risk log,Analyze documents,Verify regulatory traceability,,4,,,,,,,,1500_questions.txt
1115,"Larry manages Project X and has new team member Kathy. He's tied up with
a steering committee presentation and can't introduce her for two weeks.
What's next?",\* Have Kathy post a greeting online.,\* Tell Kathy to meet everyone herself.,\* Pair Kathy with a teammate for intros.,\* Wait to introduce her at the next meeting.,,3,,Pairing Kathy with a teammate builds connections and support.,,,,,,1500_questions.txt
1116,"Randy, a developer using Test-Driven Development, seeks a tool to sync
with remote teammates and avoid build breaks. What's best?",\* A CASE tool,\* An automated tester,\* A smart board,\* Kanban board,,2,,"Automated testers run unit tests in builds, ensuring stability.",,,,,,1500_questions.txt
1117,"A big risk triggers, and the plan is executed. What's the project
manager's next move?",Revise the risk plan.,Adjust schedule and budget.,Update lessons learned.,Spot new risks and watch residuals.,,3,,,,,,,,1500_questions.txt
1118,Stakeholder conflicts often sink projects. What's the usual cause?,Clashing goals,Personal biases,Diverse backgrounds,Varied temperaments,,1,,"Clashing goals spark conflict, requiring the manager to align interests.",,,,,,1500_questions.txt
1119,"Leo, scrum master for Project Trout, eight sprints in, faces stakeholder
panic over a rival's similar product. What's his best step?",\* Evaluate the rival product and adjust with stakeholders.,\* Scrap the project for a new one.,\* Add features next sprint.,\* Reprioritize the backlog for uniqueness.,,1,,"Assessing the rival and adjusting with stakeholders keeps the project
competitive.",,,,,,1500_questions.txt
1120,"An activity starts early on the 10th, late on the 19th, and lasts four
days with no breaks. What's true?",Total float is nine days.,Early finish is end of the 14th.,Late finish is the 25th.,It could finish in two days with double resources.,,1,,"Float is 9 (19-10). Early finish is the 13th, late is the 22nd; resource
impact lacks data.",,,,,,1500_questions.txt
1121,"At Galaxy Communications using XP, how can Anthony best show respect?",\* Review Lisa's code same-day.,\* Avoid gossiping about Lisa's unique code.,\* Praise Lisa's work despite her approach.,\* Stick to team standards in reviews.,,3,,Praising Lisa's work despite differences shows XP's respect value.,,,,,,1500_questions.txt
1122,"Russell leads an agile team spread across multiple states, with members
unfamiliar with one another due to limited in-person contact. To shift
this team from the Norming to the Storming phase, Russell could",\* Increase sprint points in upcoming cycles to ramp up the challenge.,\* Arrange a workshop on team development stages.,\* Encourage each member to tackle a tough user story per sprint.,"\* Partner with the product owner to weave in complex tasks early,
sparking team collaboration.",,4,,"The strongest choice is sparking collaboration with complex tasks early.
Boosting sprint points doesn't directly tie to team maturity. Training
on team stages won't accelerate the shift. Volunteer requests clash with
self-organizing team norms.",,,,,,1500_questions.txt
1123,"You're overseeing a project to craft a mobile app that alerts users to
stay indoors when UV rays reach hazardous levels. In a team huddle, the
value of recording both explicit and tacit knowledge is heavily
emphasized. What defines tacit knowledge?","Knowledge easily documented with words, visuals, or figures","Knowledge tricky to pin down or convey, like beliefs, experiences, and
practical know-how",Technical insights logged from prior team projects,Standardized expertise outlined by recognized industry bodies,,2,,"Knowledge splits into explicit and tacit forms. Explicit is readily
captured via words, images, or numbers; tacit involves abstract, elusive
elements like beliefs, experiences, and hands-on skills.",,,,,,1500_questions.txt
1124,"Your project is humming along on schedule when a new regulatory mandate
alters a performance spec. To weave this shift into the project
management plan, you should",Convene the change control board.,"Revamp the WBS, timeline, and plan to match the new rule.",Draft a change request.,Alert all impacted parties of the revised approach immediately.,,3,,"A change request captures the shift's details and impact, feeding into
the integrated change control process. It ensures a documented trail and
approval, guarding against later disputes.",,,,,,1500_questions.txt
1125,"A team spots a chance to boost software without denting budget or
timeline. They implement it sans proper records, triggering production
hiccups later. What process could have dodged this?",Schedule oversight,Qualitative risk review,Scope planning,Integrated change management,,4,,,,,,,,1500_questions.txt
1126,"A project manager collaborates with the team to pinpoint lessons
learned, later archiving them and summing them up in the final report.
What's this task called?",Wrapping up administratively,Updating the lessons learned log,Holding a team briefing,Gathering performance data,,1,,"This ties to administrative closure, which includes archiving and final
reporting beyond just updating the lessons log.",,,,,,1500_questions.txt
1127,"At a pharma firm, the project manager emails an apology to a subordinate
for cutting their last chat short. What communication style is this?",Written,Formal written,Casual written,Informal electronic,,3,,"Emails can be formal or informal based on tone. Here, the apology
suggests a casual written exchange, not a stiff formal note.",,,,,,1500_questions.txt
1128,"A new project involves stakeholders from various units, but some can't
join a process walkthrough. The project owner pushes to proceed anyway
for their own goals. What's the project manager's best move?",Push the meeting to include everyone.,Host a separate session for the absent stakeholders.,Run the meeting without all stakeholders for initial needs.,Chat with the sponsor about stakeholder schedules.,,4,,,,,,,,1500_questions.txt
1129,"Based on this data, is the project ahead or behind its planned pace? EV
= 95, PV = 85, AC = 100.","Ahead, since the variance is positive.","Ahead, since the variance is negative.","Behind, since the variance is negative.","Behind, since the variance is positive.",,1,,"Schedule variance (EV - PV) is 95 - 85 = 10, a positive result, meaning
the project's ahead of plan.",,,,,,1500_questions.txt
1130,"Cost management processes and their tools are typically picked during
which phase?",Financial oversight,Cost forecasting,Life cycle setup,Plan crafting,,3,,,,,,,,1500_questions.txt
1131,"Emma's crew aims to keep stakeholders engaged and align team
expectations per iteration. Her best tactic is to",\* Have all stakeholders rank the backlog.,\* Ensure regular chats on the \'done\' definition.,\* Invite stakeholders to daily standups.,\* Mandate stakeholder presence at the charter reading.,,2,,"Regularly defining \'done\' aligns expectations efficiently.
Stakeholder-heavy backlog ranking or constant meeting invites
overcomplicate things, and charter reviews don't shape iteration goals.",,,,,,1500_questions.txt
1132,"What's the monthly scrum master meeting that reviews sprint wins, flops,
and next-step commitments called?",Stand-up,Sprint planning,Sprint review,Sprint retrospective,,4,,"A sprint retrospective refines processes by reflecting on what worked,
what didn't, and what to tweak next.",,,,,,1500_questions.txt
1133,"Yolanda, scrum master for Project F in its ninth iteration, faces a new
developer's query during a retrospective about her focus on team
support. What's her likely reply?",\* Scrum masters have little else to do.,\* She's watching the team closely due to distrust.,\* Prepping the team for success is servant leadership.,\* Her bonus hinges on Project F's outcome.,,3,,"Servant leadership means clearing hurdles so the team thrives. Yolanda's
efforts reflect this, not idle time, distrust, or bonus-chasing.",,,,,,1500_questions.txt
1134,"Christian drafts acceptance tests and demos products at sprint reviews.
His role is likely",\* Team lead,\* Business rep,\* Delivery crew,\* Project overseer,,3,,"Writing tests and demoing fit the delivery crew, not business reps or
project overseers in agile setups.",,,,,,1500_questions.txt
1135,"At an agriculture firm stuck on old-school field fertilizing, the CEO
greenlights tech upgrades after seeing rivals thrive. What methodology
fits best?",\* Hybrid,\* Predictive/plan-driven,\* Iterative,\* Incremental,,1,,"Hybrid suits partial tech shifts with hesitant stakeholders, unlike
rigid predictive or scope-flexible iterative/incremental approaches.",,,,,,1500_questions.txt
1136,Which links tasks to the team members handling them?,Work breakdown structure (WBS),Network diagrams,Staffing plan,Responsibility assignment matrix (RAM),,4,,,,,,,,1500_questions.txt
1137,What tools or techniques aid the Close Project or Phase process?,Reserve analysis and expert input,Facilitation methods and gatherings,Expert input and data analysis,Performance checks and meetings,,3,,,,,,,,1500_questions.txt
1138,"You're managing a seven-month project to install tricky energy-saving
fixtures. Post-training, your team's checklist ensures quality. EVM
shows CPI at 1.09 and SPI at 0.6. What's your next step?",\* Sit tight; you're under budget and ahead.,\* Give the team a break since you're ahead.,\* Propose extra hands to hasten progress.,\* Cut contractors since you're over budget.,,3,,"CPI \> 1 means under budget, but SPI \< 1 signals a lag. Extra labor
could speed things up using spare funds.",,,,,,1500_questions.txt
1139,"After analyzing data, a project manager pinpoints variance from the
approved scope. What's the next move?",Tweak the scope management plan.,Adjust the scope baseline.,Assess if corrective or preventive steps are needed.,Shift the performance baseline.,,3,,,,,,,,1500_questions.txt
1140,"During execution, team disputes push the project over budget and off
schedule. The manager communicates subjectively, ignoring input and
resisting a learning platform. What method are they using?",Pull,Independent,Interactive,Push,,1,,,,,,,,1500_questions.txt
