id,statement,option1,option2,option3,option4,correct_answer,explanation,source
415,"You are working as a project manager on a new kitchen product for your
organisation. The product has been through a thorough design process and
has now been developed. You have had a quality testing team check over
the product and they are happy. What will you do next?",Accept the deliverable and begin archiving project information.,Test the new product with a small amount of customers to reduce risk.,Ask the project sponsor to begin production on the new product.,Show the project sponsor the verified deliverable.,4,"The process of deliverable acceptance is this: Control Quality (testing)
\> Verified Deliverables \> Validate Scope process (with
customer/sponsor) \> Accepted Deliverables. Verified deliverables are
project deliverables that are completed and checked for correctness
through the Control Quality process, and they are an input into the
""Validate Scope"" process. Process Groups: A Practice Guide (2022), p345,
""Verified Deliverables"".",500_questions.txt
416,"You have the project scope defined on your project, and have created the
list of activities needed to deliver that scope. The Project Sponsor is
worried that there will not be enough resources to complete the work.
What will you do next?","Sequence the activities, estimate their duration, then create the
schedule for the Project Sponsor.",Ask the Project Sponsor to hire more resources so you are prepared.,Create a schedule network diagram and find the critical path.,Create a Resource Assignment Matrix to see who is assigned to the work.,1,"This scenario is describing Project Schedule Management. You have
defined the scope and the list of activities to deliver the scope. The
next steps are to sequence (or prioritise) the activities with their
dependencies, estimate their duration and then place them on a schedule
assigned to resources. Doing this will also show stakeholders the time
and resources required, so they will know whether they have enough.
Process Groups: A Practice Guide (2022), p89 ""Plan Schedule Management"",
p22 \""Process Groups\""",500_questions.txt
417,"Your project team have been working to create a part of a software
deliverable for two months, and an issue has just been raised where they
believe it will cost three times the current budget and time available.
They have identified a few third party vendors who specialise in this
item. What will you do next?","Ask the project team to keep going -- time and money has already been
spent for them to create it.","Create a procurement strategy and ask the project team for a Statement
of Work.","Ask the procurement team to create a fixed price contract so cost
doesn't over-run any further.","Select a seller and award a contract so work can begin as quickly as
possible.",2,"Answer A is incorrect -- this indicates the Sunk Cost Fallacy -- remove
money already spent from the decision. Before accepting or hiring a
Third Party to do work, you will need the outputs from ""Plan Procurement
Management"" - a Procurement Strategy (including the delivery method and
type of contract) and Statement of Work (including item description and
requirements). Then you can send a Request for Quote or Proposal to
vendors using this information. Process Groups: A Practice Guide (2022),
p215, ""Procurement Documentation"".",500_questions.txt
418,"You are working as a Project Manager on a waterfall project, and the
functional manager approaches you to say that the project is not going
well and they don't think the product is going to meet the requirements
they agreed on. What will you do next?","Provide a product review for the manager at the end of the next
iteration.",Review the Requirements Traceability Matrix with the manager.,Add more scope to your project to satisfy the functional manager.,Review the Scope Management Plan with the functional manager.,2,"The requirements traceability matrix is a grid that links product
requirements from their origin to the deliverables that satisfy them.
This is the best option to see whether deliverables meet the
requirements. A product review is an Agile method, but also may only
provide a small snapshot of the product (completed in an iteration).
Adding more scope could be ""Gold Plating"" the product. The Scope
Management Plan will tell you your process of managing scope, but not
the scope itself. Process Groups: A Practice Guide (2022), p226,
""Requirements Traceability Matrix"".",500_questions.txt
419,"You are working on a highly complex and high profile project and are
under pressure from the customer to deliver something quickly. However
the subject-matter-experts who are providing the product requirements
are still in the process of figuring out around 70% of them due to the
complexity of the product. What should you do?",Ask the project team to use Rolling Wave Planning.,Ask the team to consult the Statement of Work.,Ask the project team to create a working prototype.,Ask the project team to do a Work Breakdown Structure.,1,"Rolling wave planning is an iterative technique where work in the near
term is planned in detail, while work further in the future is planned
at a higher level. This would allow something to be delivered while
other work is being planned. A statement of work is used when procuring
a vendor. A prototype might help see the working product, but only if
most of the requirements are already known. A WBS needs the high level
features to break down into smaller workable pieces. Process Groups: A
Practice Guide (2022), p295, ""Rolling Wave Planning""",500_questions.txt
420,"As a Project Manager, you are developing the approved version of the
time-phased project budget. You have created the cost estimates, and
added a contingency reserve to combat known risks. What will you do
next?",Add the Basis of Estimates to ensure reasons for costs are known.,Update the configuration management plan to include your cost estimate.,"Add the management reserve to create the total Project Funding
Requirements.",Review the Cost Performance Index to ensure the budget remains on track.,3,"The cost baseline is the approved version of the time-phased project
budget, and it includes contingency reserves (for known risks) but
excludes any management reserves (for any unforeseen scope). The next
best thing to do is to add the management reserve to complete your
budget, to create the total Project Funding Requirements, which are
derived from the Cost Baseline and is the other output of the Determine
Budget process. Process Groups: A Practice Guide (2022), p326, ""Cost
Baseline""",500_questions.txt
421,"You are nearing the end of a difficult project where the vendor
providing the system to your company has taken longer than anticipated.
The deliverables have been quality tested, validated and verified. Your
project sponsor is keen to finish the project and close it off. What
will you do next?","Review the risk register and issues register for outstanding risks and
issues.",Review the project management plan and approved change requests.,Review the procurement agreement and accepted deliverables.,"Review the requirements management plan and requirements traceability
matrix.",3,"In this scenario where a procurement is involved with the closing phase
of a project, the procurement agreements and the accepted deliverables
are inputs to close the project. When project deliverables have been
verified, they are accepted by the project sponsor and you can close the
project or phase. Process Groups: A Practice Guide (2022), p196, ""Close
project or phase"".",500_questions.txt
422,"You are managing your team through difficult project, which has been
made more difficult by many team members being new and inexperienced,
and not having the right capability to get the work done. You are
getting pressure from your steering committee to improve the performance
of your project. What will you do next?","Use Tuckman's ladder of Forming, Storming, Norming, Performing with your
team.","Use co-location, a shared knowledge portal, training and team
assessments.","Use conflict management, influencing and emotional intelligence to get
your team onside.","Use brainstorming and root cause analysis to get to the heart of the
problem.",2,"This example is referencing the process of ""Develop Team"" in resource
management. Tools and techniques in this process include co-location,
interpersonal skills, communication technology, training, team
assessments, recognition and rewards, and more. Process Groups: A
Practice Guide (2022), p146 ""Develop Team -- Tools & Techniques"".",500_questions.txt
423,"You have planned the scope, schedule, cost and resources with your team.
You have also identified a large number of risks within your project.
You are in the process of assigning the probability and impact to the
risks when one of the risks occurs. Your project sponsor immediately
worries about a worst case scenario. What will you do next?",Utilise the management reserve for your project to mitigate the risk.,"Review (or create) the risk response in the risk register then use the
appropriate contingency reserve to implement it.","Perform a long, in-depth quantitative analysis on the risk to get the
full range of financial impacts of the risk.","Accept the risk for now, as the risk analysis is not yet complete.",2,"This scenario describes performing *qualitative* risk analysis, where
the risk has already occurred. Once done, risks are placed in the risk
register with their responses, and an appropriate **contingency
reserve** is added to the work package for these ""known-unknown"" risks.
Process Groups: A Practice Guide (2022), p229, ""Risk Register"".",500_questions.txt
424,"A significant change has been made to the project scope after finding a
serious system flaw. This scope change will impact the scope, cost and
schedule of the project. You analyse the impacts to each, raise an issue
in the issue log and are about to raise a change request. What will you
do next?","Review the configuration management plan for the baselined project
items.",Add the detail as a project delivery risk in your project risk register.,Update the change log and implement the changes required.,"Check the Change Management plan for the Change Control Board members
and process.",4,"The Perform Integrated Change Control process includes a change control
board (CCB), which is a formally chartered group responsible for
reviewing, evaluating, approving, deferring, or rejecting changes to the
project and for recording and communicating such decisions. The change
management plan provides the direction for managing the change control
process and documents the roles and responsibilities of the change
control board (CCB). Process Groups: A Practice Guide (2022), p324
""Change Management Plan"".",500_questions.txt
425,"Five major defects have been found during quality testing, resulting in
the scope changing significantly and affecting your schedule and budget.
You have analysed the impacts and raised change requests for each. The
Change Control Board has approved two changes, rejected two changes and
deferred one. What will you do next?","Record the outcomes in the change log and communicate the deferred and
rejected changes to the change requestor.","Review and re-prioritise the project scope to fit must-have items into
delivery.","Raise a risk in the risk register for threats to the benefit of your
project.","Raise a claim on the affected changes to give them a better chance of
approval.",1,"The outcome of all Change Requests are recorded in the Change log, and
deferred or rejected change requests are communicated to the person or
group requesting the change. Process Groups: A Practice Guide (2022),
p202, \""Approved Change Requests\"".",500_questions.txt
426,"You are working through the scope of a newly kicked-off project, and the
senior user is unsure on how the requirements and scope come together to
create a deliverable that will work for him and the functional manager.
Your program manager suggests you use ""decomposition"" in this
circumstance. What will you do next?",Estimate activity resources for who is required to deliver the item.,Define the project scope for the functional manager.,Create a WBS and Define Activities in your schedule.,"Create the Project Charter and Project Management Plan for a clear view
of the project.",3,"Decomposition is ""breaking things down"" into smaller and more manageable
parts. It is a tool and technique for both the Create WBS and the Define
Activities processes. So, among all option C is the right answer.
Process Groups: A Practice Guide (2022), p266, \""Decomposition\"".",500_questions.txt
427,"You have been assigned to take over a project in your organisation that
has gone off track, with scope creep causing the schedule and cost to
increase. You can't quite understand the current cadence and way of
working within the team, so you decide to find out their development
approach, including any modifications. What will you do next?","Review the Project Charter, as this was the original agreed document.","Review the schedule management plan, as this will have team cadence
schedules.","Review the Project Management Plan, as this will house the cadence
approach.","Review the Stakeholder Register, for stakeholder cadence needs.",3,"The Development approach, including any modifications, is included in
the Project Management Plan. This defines whether predictive, Iterative,
agile, or a hybrid development approach will be used on the project.
Process Groups: A Practice Guide (2022), p32, \""Development Approach\"".",500_questions.txt
428,"You are working on a complex engineering project, where a significant
amount of risk has been found with your team and the customer. The
functional manager approaches to ask if she can work with your team to
plan any risk responses. You agree to help her update the Risk Register,
with:","Risk triggers, agreed response strategies, and residual risks after
mitigation.","Risk contingency reserves, quantitative analysis and financial impact
responses.","The list of risks, their probability and impact, and their overall risk
rating.","Risk owners, risk assumptions, and risk mitigations.",1,"This situation is describing the ""Plan Risk Responses"" process. The risk
register is updated with information like agreed-upon response
strategies, triggers, warning signs of risk occurrence, residual risks
that are expected to remain because they are deliberately accepted, and
the register is an output of this process. Process Groups: A Practice
Guide (2022), p122, \""Plan Risk Responses\"".",500_questions.txt
429,"Your project is nearing completion. You have monitored and controlled
quality through testing, and risks with mitigations throughout the
project life. The project sponsor is concerned that she won't know if
the product being delivered has the desired effect on her business area
once it is released. What will you do next?","Consult the Quality Management Plan, to ensure the quality is right for
the sponsor.","Consult the Benefits Management Plan, and act in accordance to that
process.","Consult the Business Case, to see the proposed benefits from the change.","Consult the Risk Register, for any remaining risks that might reduce the
effect.",2,"What the sponsor is talking about here is the benefit to her business.
The Benefits Management Plan is a type of business document that
describes how and when the benefits of the project will be delivered,
and process that should be in place to measure those benefits. During
closing, its reviewed to measure whether the benefits of the project
were achieved as planned. Process Groups: A Practice Guide (2022), p203,
""Benefits Management Plan"".",500_questions.txt
430,"You are the project manager on a high profile software project that
involves automation technology not used before in your company. Because
of this, your team have no resources to complete that part of the
project. The steering committee approves outsourcing this work to a
suitable vendor. What will you do next?",Perform a make-or-buy analysis to ensure a correct decision.,"Approach your procurement department for suitable contracts to proceed
with, such as Cost plus Incentive Fee.",Create the procurement statement of work and source selection criteria.,"Review current agreements and change requests impacting third-party
work.",3,"In this scenario we are in the beginning stages of procuring a vendor.
The right process is Plan Procurement Management, where the outputs are
to create the procurement statement of work and the source selection
criteria. Other items are the bid documents (i.e. request for proposal),
and the Procurement Strategy. The time for make-or-buy analysis has
passed, with the third party approach already being approved. Process
Groups: A Practice Guide (2022), p128, \""Plan Procurement Management\""",500_questions.txt
431,"You are a project manager working in the initial phases of a project,
and trying to put together a document for your stakeholders to have your
project approved. You remember the Five Cs of communication from your
studies, and decide to use them here. What will you do next?",Connect each part of the communication.,Create a bond between the message sender and receiver.,Ensure clear purpose and expression directed to the needs of the reader.,Care about the subject and the person.,3,"In this scenario we are talking about the five Cs of communication:
Correct grammar and spelling, Concise expression and elimination of
excess words, Clear purpose and expression directed to the needs of the
reader, Coherent logical flow of ideas, Controlling flow of words and
ideas. (PMBOK Guide) -- Sixth Edition, 2017, p363, ""Key concepts for
project communications"".",500_questions.txt
432,"You have been working with the stakeholders on your project for some
time, and the communication has been getting more and more tense with
each interaction. You perform a stakeholder engagement assessment and
discover the majority of your stakeholders are either resistant or
neutral. What will you NOT do next?","Ensure you are listening actively with each interaction, speaking less
and listening more.",Increase your awareness of cultural and personal differences.,"Identify, set and manage stakeholder expectations.","Escalate the stakeholder issue to their functional manager to bring them
back in line.",4,"In this scenario we are talking about Communication. There are four
things that support the Five Cs of communication, and they are:
Listening actively; Awareness of cultural and personal differences;
Identifying, setting, and managing stakeholder expectations; Enhancement
of skills (in negotiation coaching, and conflict resolution). (PMBOK
Guide) -- Sixth Edition, 2017, p363",500_questions.txt
433,"You have been working on a large database transfer project, when the
manager for data in your organisation identifies the aging systems as a
threat to your project. You review this with your project team and
decide to perform qualitative risk analysis on the threat. What will you
do next?",Review the quality of the data that led to the risk identification.,Assign a probability of occurrence and an impact if it does occur.,"Perform analysis on a range of outcomes to see the possible financial
impact.","Add a risk trigger, mitigation and owner to the threat.",2,"This scenario is talking about qualitative risk analysis, which is
described as the process of prioritizing individual project risks for
further analysis or action by assessing their probability of occurrence
and impact as well as other characteristics. Process Groups: A Practice
Guide (2022), p117 ""Perform Qualitative Risk Analysis"".",500_questions.txt
434,"You are managing a project that has formed organically around an
important process improvement. You have been given limited resources and
a very small budget from the project sponsor. You are planning Risk
Management with your team, but you do not have the resources to complete
all the necessary risk tasks. Which step will you remove in such a
project?",Perform Qualitative Risk Analysis.,Perform Quantitative Risk Analysis.,Identify Risks.,Plan Risk Management.,2,"In the PMBOK Guide, quantitative risk analysis consumes additional time
and cost. The use of quantitative risk analysis is most likely
appropriate for large or complex projects, or strategically important
projects. Process Groups: A Practice Guide (2022), p120, \""Perform
Quantitative Risk Analysis\"".",500_questions.txt
435,"You are the project manager on a waterfall project, and you have planned
the requirements, scope and schedule with your team. You now need to
create the total funding requirements for your project. What will you
NOT include as part of your total funding requirements?",Contingency amounts to account for identified risks.,Amounts for ongoing operation of the delivered product.,Aggregated estimates for project activities.,A management reserve for unforeseen scope changes.,2,"Total Funding Requirements include the cost baseline - which are the
aggregated project costs, plus the contingency reserve for any known
risks, and the management reserve for any unforeseen project scope.
Process Groups: A Practice Guide (2022), p219, ""Project Funding
Requirements"".",500_questions.txt
436,"You have just taken over as project manager on a difficult waterfall
project. Multiple project stakeholders have approached you and asked to
make changes to different parts of the scope, cost and the delivery
(schedule) of the project. You are trying to figure out which items need
change approval, and which can just be done. What will you do next?",Review the Change Management Plan for the change approval process.,Refer the Scope Management Plan for scope items that need approval.,Review the Configuration Management Plan for baselined items.,Examine Requirement Traceability Matrix for the requirement requestor.,3,"The change management plan explains the change process, however it is
the configuration management plan that shows which items in your project
are baselined and need to go through the change management process.
Process Groups: A Practice Guide (2022), p207, ""Configuration Management
Plan""",500_questions.txt
437,"You are new to a project and are approached by the functional manager.
No one has been able to tell them exactly what the project is about, and
what they need to be aware of, including high level scope, schedule,
risks, and who approved it in the first place. What will you do next?",Check the project activity list and schedule.,Hold a sprint review to see what the team have developed so far.,"Review the project charter and identify the stakeholder impacted by the
change.","Visit the project management office (PMO) to gather organizational
process assets.",3,"The Project Charter holds the high level information you need to get up
to speed, including the project purpose, high-level requirements and
deliverables, summary milestone schedule list, project risk,
stakeholders and more. Process Groups: A Practice Guide (2022), p222,
""Project Charter"".",500_questions.txt
438,"The project manager on your project recently left, and you agreed to see
the project through as it is nearly complete. The deliverables have been
accepted, and you just need to communicate the release to any and all
affected stakeholders in the way they agreed. What will you do next?","Review the Communication Management Plan for how communication is
managed.","Review the Stakeholder Engagement Plan for how stakeholders prefer to be
engaged.","Review the Stakeholder Register for the people you need to communicate
to.","Review the Resource Management Plan for the resources affected by your
project.",1,"The communications management plan describes how project communications
will be planned, structured, implemented, and monitored for
effectiveness. The plan contains things such as Stakeholder
communication requirements, Information to be communicated, Reason for
the distribution of that information and more. Process Groups: A
Practice Guide (2022), p206, ""Communications Management Plan""",500_questions.txt
439,"You have been working on a project in your organisation for some time.
In the latest working group meeting, the project sponsor adds a new
executive member to the group. As soon as they arrive, they raise a new
scope item that was not in the original plan. What will you do next?",Raise a change request to change the scope baseline.,Update the stakeholder register with the new stakeholder details.,Raise an issue for the scope change in the issue log.,Update the change log with the initial details of the scope change.,2,"The stakeholder register contains identification information (i.e. name
and role), assessment information (i.e. requirements and potential for
influencing), and stakeholder classification such as impact over
influence. As the stakeholder has just joined the project, this is the
very next thing you should do. The change control process can come next,
but usually not before analysing the impact to your project. Process
Groups: A Practice Guide (2022), p239, \""Stakeholder Register\"".",500_questions.txt
440,"Your project team have been complaining about poor stakeholder
engagement in a certain part of the organisation for some time. It is
now impacting the project schedule and you may need to use your
contingency reserve to crash the schedule and bring it back on track.
What will you do next?","Review the cost management plan and access the appropriate contingency
reserve.",Perform root cause analysis on the problem with your team.,"Raise the engagement as a risk and escalate it immediately to the
functional manager.",Change the way of working to agile to increase stakeholder engagement.,2,"Root cause analysis is an analytical technique used for identifying root
causes of a problem and solving them. We won't access a contingency
reserve until we've properly analysed the impact to our project. Risks
must also go through the process of analysis, assignment and mitigation
before deciding to escalate as a response. Changing the way of work
won't magically increase engagement straight away. Process Groups: A
Practice Guide (2022), p295, ""Root Cause Analysis"".",500_questions.txt
441,"You are delivering a brand new product line into your organisation,
partly utilising a third party system. You have been working with the
functional manager and her team to gather their expert judgement
throughout development, when they raise a concern that the third party
system has a high chance of being discontinued and losing support in the
next 12 months. What will you do next?",Update the Risk Register.,Update the Issue Log.,"Ignore the concern, you can still deliver the product without the
system.",Escalate the concern to the project sponsor.,1,"What we are describing here is a Risk, to the delivery of the product
and its benefits. A risk can get discovered at any point of time in the
project, and all identified risks can be recorded to Risk Register
throughout the life cycle of the project. One of the outputs to
Identifying Risks is the updated Risk Register. Process Groups: A
Practice Guide (2022), p115, ""Identify Risks""",500_questions.txt
442,"You have joined a car manufacturing company as a new project manager.
Senior Management have asked you to take the necessary steps that will
enable you to kick-start a project in a corresponding area for designing
a new electronic dashboard. What will you do next?",Review the marketplace conditions and current industry standards.,"Create a cost benefit analysis and feasibility study for a business
case.","Gather the high level requirements, scope, milestones and risks for a
project charter.","Start the project through a kick-off meeting immediately, and begin
gathering resources.",3,"This question is describing the Initiating phase of a project. Develop
Project Charter is the first step in the Initiating phase. It is a
document that formally authorizes the existence of a project and
provides the project manager with the authority to apply organizational
resources to project activities, and includes a summary milestone
schedule; high-level project description and key deliverables, overall
project risk and more. Process Groups: A Practice Guide (2022), p22,
\""Process Groups\"", 222, ""Project Charter"".",500_questions.txt
443,"Your project team have just finished defining the scope of the project.
They have matched the scope to the original requirements on a
Requirements Traceability Matrix. The team cannot agree on what to do
next. What will you ask them to do?",Ask your quality team to verify the scope so your project can proceed.,Approach the project sponsor for acceptance of the project scope.,"Break down the scope into activities and place them on a project
schedule.","Review the Scope Management Plan for direction on creating the Work
Breakdown Structure.",4,"The order of Scope Management processes in project planning are: Collect
Requirements, Define the Scope, Create the WBS. The process for creating
the WBS should be outlined in the Scope Management Plan, which outlines
the process for creating the scope statement, WBS, Scope Baseline, and
how scope is accepted. Validating scope is done by the accepting
customer (or sponsor) after quality testing verifies them. Process
Groups: A Practice Guide (2022), p77, \""Planning Process Group\""",500_questions.txt
444,"You have just taken over a project that is approximately half-way
through, and has used around 75% of its budget. A change to one of the
features has been requested after extensive user acceptance testing, and
your project team cannot agree on what to do next or whether changes
should be made. What will you do next?",Check the Change Management Plan for details on how to make changes.,"Check the Requirements Traceability Matrix for how the requirements
should be traced.","Blame the previous project manager loudly for not having a process to
deal with this situation.",Check the Scope Management Plan for details on how to manage the scope.,4,"The change management plan defines the process for managing change on
the project. The scope management plan documents how the project and
product scope will be defined, monitored and controlled, verified and
validated. The requirements traceability matrix is a grid that links
product requirements from their origin to the deliverables that satisfy
them. Process Groups: A Practice Guide (2022), p82, \""Scope Management
Plan\"".",500_questions.txt
445,"You have been asked to work on a process improvement within your team.
Your manager has secured a developer to assist you with automating the
process once it is streamlined, but you will need to make sure they
understand the process thoroughly, including the criteria to test the
automation against. What will you do next?",Gather your team and the developer and create a flowchart together.,Gather your team and create an affinity diagram together.,"Gather your team and the developer and perform a cost-benefit analysis
for the automation.",Gather your team and create a quality management plan together.,1,"A flowchart shows the process flow from start to finish, including
decision points and people, departments or systems involved. It is also
a Tool for Plan Quality Management. Process Groups: A Practice Guide
(2022), p273, \""Flowcharts\"".",500_questions.txt
446,"You are working on a new project where the design and project work,
including all the scope and cost have been planned up front. However,
part of the project relies on a vendor creating a new add-on for your
project, which will be subject to multiple changes as the core product
is created. What project development lifecycle approach will you
recommend to the team?","A Predictive or Waterfall approach, as the work is planned up-front.","An Iterative approach, as changes will need to be made before the final
delivery.","An Incremental approach, so you can deliver parts continuously and align
them.","A Hybrid approach combining pre-planned activities, iterations and
ceremonies that promote collaboration and feedback.",4,"A hybrid life cycle is a combination of a predictive and an adaptive
life cycle. Those elements of the project that are well known or have
fixed requirements follow a predictive development life cycle, and those
elements that are still evolving follow an adaptive development life
cycle. Process Groups: A Practice Guide (2022), p15, \""Project and
Development Lifecycles""",500_questions.txt
447,"The project you are managing has defined the scope and created the Scope
Baseline with the Scope Statement, WBS and WBS dictionary. The project
sponsor is concerned that project planning is taking too long, and would
like to see the project plan finished. What is the next best action you
should take?","Create the project budget, including contingency and management
reserves.",Define and sequence activities and estimate their durations.,Create the Resource Management Plan,"Review the project charter for the high level project scope, schedule
and costs.",2,"You cannot create the budget without knowing the activities to create
the scope, their durations, and the resources required to perform them.
The next best action is to define and sequence activities and estimate
their durations. Process Groups: A Practice Guide (2022), p89, \""Plan
Schedule Management\""",500_questions.txt
448,"You are working on a project charter for the initiating stage of a new
project that will deliver a new data system. You approach your
enterprise data team and ask them for an estimate to deliver these
changes, however your project sponsor believes a third-party vendor will
provide the best solution. What will you do next?",Create the project charter and let the steering committee decide.,Perform make-or-buy analysis with a payback period.,Ask the enterprise data team for their lowest quote to ensure they win.,Take an agile approach to the project and deliver it in increments.,2,"Make or buy analysis is used to decide between two or more options in
delivering a project, with one of those options being your own
organisation. It may include a payback period (initial outlay versus
ongoing costs for each), Net Present Value, Cost Benefit analysis and
more. Process Groups: A Practice Guide (2022), p213, ""Make or buy
decisions"".",500_questions.txt
449,"You are working on a project where the functional manager is unhappy
with the changes being brought about to his part of the organisation. He
argues constantly, misses key meetings, demands multiple sign-offs to
slow progress and more. The project sponsor asks you to go for a win/win
approach to this conflict. What will you do next?","Smooth and accommodate the manager, emphasising areas of agreement.",Collaborate and problem solve with the manager.,Compromise and reconcile with the manager.,"Force and direct the manager, pushing your viewpoint and the expense of
others.",2,"This is a question on managing conflict. Smoothing and accommodating is
lose/win. Compromising and reconciling may sound nice, but you both give
up something and it ends in a lose/lose. Forcing your viewpoint is
win/lose at the expense of others. Only problem solving and
collaborating can end in a win/win. Process Groups: A Practice Guide
(2022), p258, ""Conflict Management"".",500_questions.txt
450,"You are working on a large multi-year project. You realise that the
estimates from a year ago are extremely inaccurate, and the project is
off track. You would like to try a different approach that gives a high
level view of future work, and a detailed view of near-term work. What
will you do next?",Recommend a Decomposition approach.,Recommend the process in the Schedule Management Plan.,Recommend an Iterative approach to development.,Recommend a Rolling Wave Planning approach.,4,"Rolling Wave Planning is when you plan near-term work in detail, and
future work at a high level. Process Groups: A Practice Guide (2022),
p295, ""Rolling Wave Planning"".",500_questions.txt
451,"You are in the initiating stages of a project working for a car
manufacturer. Their vehicles have been losing market share due to the
high price of fuel, and the organisation wants to build more fuel
efficient cars. You have been asked to put together a business case
outlining the various options, with a specific order to perform
benchmarking. What will you do next?","Find which competitor products have been benchmarked for future
production.","Compare the specifications of popular branded fuel efficient cars
available in the market with your products.","Create a project charter to use as a benchmark for your future project
management plan.","Benchmark your current Scope, Cost and Schedule to use as values for
project performance.",2,"Benchmarking involves comparing actual or planned products, processes,
and practices to those of comparable organizations to identify best
practices, generate ideas for improvement, and provide a basis for
measuring performance. The organizations compared during benchmarking
can be internal or external. Process Groups: A Practice Guide (2022),
p249, ""Benchmarking"".",500_questions.txt
452,"When reviewing the project performance with your team, you notice the
following: 1) Activity A, on the critical path, is delayed by 5 days. 2)
Activity B, not on the critical path, is delayed by 10 days. 3) Activity
C, on the critical path is delayed by 3 days 4) Activity D, not on the
critical path, is delayed by 7 days. Where will you ask the team to
focus their efforts on first, and then in which order, to bring the
project back on track?","Activity A, Activity B, Activity D, Activity C.","Activity B, Activity D, Activity A, Activity C.","Activity A, Activity C, Activity B, Activity D.","Activity B, Activity A, Activity D, Activity C.",3,"Tasks on critical path should be addressed first, as they are critical
to the project schedule. After that, items that are delayed by the most
should be addressed as soon as possible. This makes C is the most
reasonable choice. (PMBOK Guide) -- Sixth Edition, 2017, p210, ""Critical
Path method"".",500_questions.txt
453,"As your project begins, it becomes clear the most of the business
analysts, developers and testers are not familiar with system they will
be modifying. The Project Sponsor asks you to address this as a
potential future quality issue, and asks you to add a series of training
sessions for the team, with associated cost. What will you do next?","Add it as Appraisal Costs, and take the change request to the CCB for
approval.","Add it as Preventive Costs, and take the change request to the CCB for
approval.","Add it as Internal Failure Costs and take the change request to the CCB
for approval.","Add it as Sunk Costs and take the change request to the CCB for
approval.",2,"This is the Cost of Quality. Appraisal cost is the cost of auditing or
checking the work. Internal failure costs are defects caught before
release. Sunk cost is the money already spent on something, while making
future decisions. Preventative costs is the bets answer here, as through
training we are preventing future quality issues.",500_questions.txt
454,"You have finished project planning. All baseline documents are approved
and the project team is ready to begin project execution or delivery.
Your team have planned and estimated the activity resources required.
What will you do next?","Define with the team how to estimate, acquire, manage, and use team and
physical resources.","Estimate team resources and the type and quantities of materials,
equipment, and supplies necessary to perform project work.","Obtain team members, facilities, equipment, materials, supplies, and
other resources necessary to complete project work.","Monitor the planned versus actual utilization of resources and taking
corrective action as necessary.",3,"After planning and estimating resources comes acquiring resources during
project execution. Acquiring resources is described as: Obtaining team
members, facilities, equipment, materials, supplies, and other resources
necessary to complete project work. Process Groups: A Practice Guide
(2022), p22 ""Process Group Mapping"", p143 ""Acquire Resources"".",500_questions.txt
455,"You have been working on a large waterfall project for some time, and
one of the business analysts working with you has shown interest in
taking on higher duties and moving into a project management role. What
advice will you give them?",To keep improving as a business analyst and become the best they can be.,To ensure they can create a Project Charter and Project Management Plan.,"To work on their soft skills, knowledge in ways of working and value
prioritisation.",To work on their contract and procurement skills for hiring and vendors.,3,"The new Project Manager Talent Triangle includes Power Skills (soft
skills and communication), Ways of Working skills (the ability to choose
and refine a way of working), and Business Acumen (making good
decisions, prioritizing with cost and benefits).",500_questions.txt
456,"You are working as a project manager in an organisation with a new
Project Management Office. They advise all project managers to fulfil
their numerous roles within their sphere of influence, including the
Project, the Industry, and their professional discipline. What is your
responsibility when it comes to the Organisation?","Proactively interact with other project managers for demands on the same
resources, funding, and alignment of project goals to the organisation.",Communicate within your project consistently and predictably.,Ensure an understanding of changing market niches and standards.,"Educate other professionals in the organisation regarding the value of
project management.",1,"This is talking about the Project Manager\'s Sphere of Influence. Being
proactive with other project managers for resources and funding is the
influencing within Organisation. Communicating within your project is
the Project sphere of influence. An understanding of market niches is
the Industry sphere of influence. Educating other professionals is
influencing \""Across Disciplines.\"" Process Groups: A Practice Guide
(2022), p53, \""The Project Manager\'s Sphere of Influence\""",500_questions.txt
457,"You have just joined an organisation, and are about to be allocated to
an existing project, delivering a new Human Resources system. You have
heard that the project is behind its delivery milestones, and it is over
budget by \$40,000 so far. There are multiple stakeholders with
differing needs. What will you do first?","Create a project management plan, outlining the processes for each phase
of the project.","Perform a stakeholder engagement assessment, to see who is sabotaging
the project.","Start by understanding how the organisation works, including its
politics and power.","Meet with the project sponsor to understand why the project is off
track.",3,"Being new to the organisation and to the project, the best thing you can
do first is to understand the internal Enterprise Environmental Factors
of politics, power, and how to get things done. You are not yet on the
project, so Stakeholders are not your first concern. An existing project
will have a Project plan that you can review. Process Groups: A Practice
Guide (2022), p63, \""Politics, Power and Getting things done\""",500_questions.txt
458,"You are working in an organisation where a large change is happening to
multiple departments. You have been asked to manage this change as a
project, and allocate people within your project team with sufficient
leadership skills. What will you NOT look for in potential candidates?","People who build trust, balance opposing goals and apply persuasion and
conflict resolution.","People who give feedback constructively and accept feedback
constructively.","People who can describe the products, goals and objectives of the
project.","People who ensure the work is done their way, to ensure the fastest
approach.",4,"The qualities and skills of a leader include: integrity, being a
visionary, being collaborative and using influence appropriately. They
do not include dictatorships or doing things their own way without
feedback from the team. Process Groups: A Practice Guide (2022), p60,
\""Qualities and Skills of a Leader\""",500_questions.txt
